,Order ID,Customer Age,Bike Value,Existing Customer?,Store,Bike,Quarter,Day of Month
10,11,57,902,No,Birmingham,Road,4,4
11,12,31,946,Yes,Leeds,Road,1,17
12,13,17,1296,Yes,Birmingham,Road,4,25
13,14,59,1166,Yes,Manchester,Road,3,18
14,15,24,1781,No,Manchester,Mountain,4,10
15,16,59,1074,No,York,Mountain,4,6
16,17,57,1188,No,York,Mountain,3,14
17,18,56,544,No,York,Mountain,4,23
18,19,34,579,Yes,York,Gravel,4,24
19,20,17,1021,Yes,York,Gravel,2,24
20,21,36,786,Yes,London,Road,2,9
21,22,51,1596,No,London,Road,1,2
22,23,24,745,No,London,Road,1,20
23,24,50,1937,No,London,Road,2,13
24,25,35,1958,No,Leeds,Mountain,3,5
25,26,34,659,Yes,Birmingham,Mountain,4,21
26,27,56,1403,Yes,Leeds,Mountain,2,7
27,28,28,1347,Yes,Birmingham,Mountain,1,12
28,29,24,1755,No,Manchester,Gravel,1,7
29,30,54,1190,No,Manchester,Gravel,1,3
30,31,50,1643,No,York,Road,3,17
31,32,22,934,No,York,Road,1,29
32,33,30,968,Yes,York,Road,4,13
33,34,37,881,Yes,York,Road,3,21
34,35,52,1413,Yes,York,Mountain,4,2
35,36,59,1906,No,London,Mountain,2,30
36,37,53,1889,No,London,Mountain,2,5
37,38,56,1426,No,London,Mountain,3,20
38,39,50,1116,No,London,Gravel,3,1
39,40,15,1353,Yes,Leeds,Gravel,2,8
40,41,28,768,Yes,Birmingham,Road,2,18
41,42,56,1737,Yes,Leeds,Road,1,7
42,43,47,826,No,Birmingham,Road,2,16
43,44,28,1824,No,Manchester,Road,3,1
44,45,18,1706,No,Manchester,Mountain,1,18
45,46,38,1411,No,York,Mountain,1,30
46,47,37,415,Yes,York,Mountain,2,13
47,48,56,1894,Yes,York,Mountain,4,3
48,49,15,653,Yes,York,Gravel,1,16
49,50,56,1666,No,York,Gravel,2,30
50,51,53,714,No,London,Road,2,1
51,52,16,1557,No,London,Road,1,31
52,53,21,653,No,London,Road,1,25
53,54,42,936,Yes,London,Road,3,21
54,55,22,1401,Yes,Leeds,Mountain,3,21
55,56,18,638,Yes,York,Mountain,2,25
56,57,25,1406,No,York,Mountain,2,25
57,58,30,1948,No,York,Mountain,2,27
58,59,28,1327,No,York,Gravel,2,17
59,60,17,831,No,York,Gravel,4,9
60,61,17,1081,Yes,London,Road,4,19
61,62,73,1074,Yes,London,Road,4,17
62,63,57,993,Yes,London,Road,1,10
63,64,54,1569,No,London,Road,3,20
64,65,26,683,No,Leeds,Mountain,1,14
65,66,40,1579,No,Birmingham,Mountain,3,11
66,67,22,871,No,Leeds,Mountain,2,30
67,68,54,1136,Yes,Birmingham,Mountain,3,29
68,69,21,1659,Yes,Manchester,Gravel,3,16
69,70,24,1545,Yes,Manchester,Gravel,1,22
70,71,60,887,No,York,Road,1,3
71,72,32,433,No,York,Road,1,24
72,73,37,675,No,York,Road,4,10
