,#,Name,Total,HP,Attack,Defense,Special Attack,Special Defense,Speed,Evolving from,Evolving to,Level,Condition,Evolution Type,Evolution Group
0, 001,Bulbasaur,318,45,49,49,65,65,45,,Ivysaur,16.0,,Level,Bulbasaur
1, 002,Ivysaur,405,60,62,63,80,80,60,Bulbasaur,Venusaur,32.0,,Level,Bulbasaur
2, 003,Venusaur,525,80,82,83,100,100,80,Ivysaur,,,,,Bulbasaur
3, 004,Charmander,309,39,52,43,60,50,65,,Charmeleon,16.0,,Level,Charmander
4, 005,Charmeleon,405,58,64,58,80,65,80,Charmander,Charizard,36.0,,Level,Charmander
5, 006,Charizard,534,78,84,78,109,85,100,Charmeleon,,,,,Charmander
6, 007,Squirtle,314,44,48,65,50,64,43,,Wartortle,16.0,,Level,Squirtle
7, 008,Wartortle,405,59,63,80,65,80,58,Squirtle,Blastoise,36.0,,Level,Squirtle
8, 009,Blastoise,530,79,83,100,85,105,78,Wartortle,,,,,Squirtle
9, 010,Caterpie,195,45,30,35,20,20,45,,Metapod,7.0,,Level,Caterpie
10, 011,Metapod,205,50,20,55,25,25,30,Caterpie,Butterfree,10.0,,Level,Caterpie
11, 012,Butterfree,385,60,45,50,80,80,70,Metapod,,,,,Caterpie
12, 013,Weedle,195,40,35,30,20,20,50,,Kakuna,7.0,,Level,Weedle
13, 014,Kakuna,205,45,25,50,25,25,35,Weedle,Beedrill,10.0,,Level,Weedle
14, 015,Beedrill,385,65,80,40,45,80,75,Kakuna,,,,,Weedle
15, 016,Pidgey,251,40,45,40,35,35,56,,Pidgeotto,18.0,,Level,Pidgey
16, 017,Pidgeotto,349,63,60,55,50,50,71,Pidgey,Pidgeot,36.0,,Level,Pidgey
17, 018,Pidgeot,469,83,80,75,70,70,91,Pidgeotto,,,,,Pidgey
18, 019,Rattata,253,30,56,35,25,35,72,,Raticate,20.0,,Level,Rattata
19, 020,Raticate,413,55,81,60,50,70,97,Rattata,,,,,Rattata
20, 021,Spearow,262,40,60,30,31,31,70,,Fearow,20.0,,Level,Spearow
21, 022,Fearow,442,65,90,65,61,61,100,Spearow,,,,,Spearow
22, 023,Ekans,288,35,60,44,40,54,55,,Arbok,22.0,,Level,Ekans
23, 024,Arbok,438,60,85,69,65,79,80,Ekans,,,,,Ekans
24, 025,Pikachu,300,35,55,30,50,40,90,Pichu,Raichu,,Thunderstone,Stone,Pichu
25, 026,Raichu,475,60,90,55,90,80,100,Pikachu,,,,,Pichu
26, 027,Sandshrew,300,50,75,85,20,30,40,,Sandslash,22.0,,Level,Sandshrew
27, 028,Sandslash,450,75,100,110,45,55,65,Sandshrew,,,,,Sandshrew
28, 029,Nidoran♀,275,55,47,52,40,40,41,,Nidorina,16.0,,Level,Nidoran♀
29, 030,Nidorina,365,70,62,67,55,55,56,Nidoran♀,Nidoqueen,,Moon Stone,Stone,Nidoran♀
30, 031,Nidoqueen,495,90,82,87,75,85,76,Nidorina,,,,,Nidoran♀
31, 032,Nidoran♂,273,46,57,40,40,40,50,,Nidorino,16.0,,Level,Nidoran♂
32, 033,Nidorino,365,61,72,57,55,55,65,Nidoran♂,Nidoking,,Moon Stone,Stone,Nidoran♂
33, 034,Nidoking,495,81,92,77,85,75,85,Nidorino,,,,,Nidoran♂
34, 035,Clefairy,323,70,45,48,60,65,35,Cleffa,Clefable,,Moon Stone,Stone,Cleffa
35, 036,Clefable,473,95,70,73,85,90,60,Clefairy,,,,,Cleffa
36, 037,Vulpix,299,38,41,40,50,65,65,,Ninetales,,Fire Stone,Stone,Vulpix
37, 038,Ninetales,505,73,76,75,81,100,100,Vulpix,,,,,Vulpix
