,Month,Breakdown,Country,Number of Tourists
15,01/01/2010,Europe,Germany,5890.0
16,01/01/2010,Europe,Italy,12276.0
17,01/01/2010,Europe,Russia,5873.0
18,01/01/2010,Europe,the United Kingdom,8405.0
19,01/01/2010,Asia,China,6069.0
20,01/01/2010,Asia,India,1742.0
25,01/01/2010,Europe,France,6899.0
43,01/02/2010,Europe,Germany,6602.0
44,01/02/2010,Europe,Italy,12003.0
45,01/02/2010,Europe,Russia,3285.0
46,01/02/2010,Europe,the United Kingdom,10422.0
47,01/02/2010,Asia,China,13345.0
48,01/02/2010,Asia,India,1594.0
53,01/02/2010,Europe,France,8464.0
71,01/03/2010,Europe,Germany,8554.0
72,01/03/2010,Europe,Italy,13153.0
73,01/03/2010,Europe,Russia,4301.0
74,01/03/2010,Europe,the United Kingdom,11394.0
75,01/03/2010,Asia,China,6144.0
76,01/03/2010,Asia,India,1385.0
81,01/03/2010,Europe,France,7190.0
99,01/04/2010,Europe,Germany,5317.0
100,01/04/2010,Europe,Italy,7577.0
101,01/04/2010,Europe,Russia,3899.0
102,01/04/2010,Europe,the United Kingdom,9529.0
103,01/04/2010,Asia,China,7060.0
104,01/04/2010,Asia,India,1802.0
109,01/04/2010,Europe,France,5459.0
127,01/05/2010,Europe,Germany,7634.0
128,01/05/2010,Europe,Italy,3213.0
129,01/05/2010,Europe,Russia,3704.0
130,01/05/2010,Europe,the United Kingdom,9460.0
131,01/05/2010,Asia,China,8964.0
132,01/05/2010,Asia,India,2400.0
137,01/05/2010,Europe,France,2920.0
155,01/06/2010,Europe,Germany,3748.0
156,01/06/2010,Europe,Italy,3495.0
157,01/06/2010,Europe,Russia,2569.0
158,01/06/2010,Europe,the United Kingdom,6728.0
159,01/06/2010,Asia,China,8615.0
160,01/06/2010,Asia,India,1999.0
165,01/06/2010,Europe,France,1155.0
183,01/07/2010,Europe,Germany,4402.0
184,01/07/2010,Europe,Italy,3882.0
185,01/07/2010,Europe,Russia,3098.0
186,01/07/2010,Europe,the United Kingdom,9053.0
187,01/07/2010,Asia,China,12449.0
188,01/07/2010,Asia,India,1871.0
193,01/07/2010,Europe,France,1464.0
211,01/08/2010,Europe,Germany,4943.0
212,01/08/2010,Europe,Italy,8351.0
213,01/08/2010,Europe,Russia,4176.0
214,01/08/2010,Europe,the United Kingdom,10259.0
215,01/08/2010,Asia,China,14998.0
216,01/08/2010,Asia,India,1419.0
221,01/08/2010,Europe,France,2257.0
239,01/09/2010,Europe,Germany,6412.0
240,01/09/2010,Europe,Italy,4167.0
241,01/09/2010,Europe,Russia,3488.0
242,01/09/2010,Europe,the United Kingdom,9917.0
243,01/09/2010,Asia,China,13028.0
