,Bike Type,Model,Total_Quantity_Sold,Total_Order_Value,Avg_Days_to_Ship
0,Gravel,BROM,186,433885,9.7
1,Gravel,GIA,323,733087,11.2
2,Gravel,KONA,324,791841,11.2
3,Gravel,ORRO,151,411644,10.5
4,Gravel,SPEC,974,2295397,10.6
5,Mountain,BROM,277,674770,10.9
6,Mountain,GIA,425,1021329,11.1
7,Mountain,KONA,330,820537,9.3
8,Mountain,ORRO,87,206550,10.0
9,Mountain,SPEC,960,2344504,11.0
10,Road,BROM,257,656539,11.1
11,Road,GIA,407,896695,9.7
12,Road,KONA,273,647684,10.7
13,Road,ORRO,84,181300,9.6
14,Road,SPEC,937,2195597,10.7
