,Variation (1SD),Outlier? (1SD),The Lower Control Limit,The Upper Control Limit,Standard Deviation,Mean,Date,Week,Complaints,Department
2,25.916348949208544,Outside,16.75611123968144,42.672460188889985,12.958174474604274,29.714285714285715,21/04/2021,16,51,Ticketing
3,25.916348949208544,Outside,16.75611123968144,42.672460188889985,12.958174474604274,29.714285714285715,22/04/2021,16,48,Ticketing
5,25.916348949208544,Outside,16.75611123968144,42.672460188889985,12.958174474604274,29.714285714285715,24/04/2021,16,57,Ticketing
15,25.916348949208544,Outside,16.75611123968144,42.672460188889985,12.958174474604274,29.714285714285715,20/04/2021,16,12,Airport Experience
16,25.916348949208544,Outside,16.75611123968144,42.672460188889985,12.958174474604274,29.714285714285715,21/04/2021,16,10,Airport Experience
18,25.916348949208544,Outside,16.75611123968144,42.672460188889985,12.958174474604274,29.714285714285715,23/04/2021,16,14,Airport Experience
21,33.24225652761285,Outside,21.188395545717384,54.430652073330236,16.621128263806426,37.80952380952381,26/04/2021,17,14,Ticketing
23,33.24225652761285,Outside,21.188395545717384,54.430652073330236,16.621128263806426,37.80952380952381,28/04/2021,17,57,Ticketing
25,33.24225652761285,Outside,21.188395545717384,54.430652073330236,16.621128263806426,37.80952380952381,30/04/2021,17,56,Ticketing
27,33.24225652761285,Outside,21.188395545717384,54.430652073330236,16.621128263806426,37.80952380952381,02/05/2021,17,59,Ticketing
31,33.24225652761285,Outside,21.188395545717384,54.430652073330236,16.621128263806426,37.80952380952381,29/04/2021,17,84,Onboard Experience
35,33.24225652761285,Outside,21.188395545717384,54.430652073330236,16.621128263806426,37.80952380952381,26/04/2021,17,20,Airport Experience
43,18.892679358241736,Outside,43.88699365421247,62.779673012454204,9.446339679120868,53.333333333333336,04/05/2021,18,76,Ticketing
45,18.892679358241736,Outside,43.88699365421247,62.779673012454204,9.446339679120868,53.333333333333336,06/05/2021,18,68,Ticketing
46,18.892679358241736,Outside,43.88699365421247,62.779673012454204,9.446339679120868,53.333333333333336,07/05/2021,18,63,Ticketing
47,18.892679358241736,Outside,43.88699365421247,62.779673012454204,9.446339679120868,53.333333333333336,08/05/2021,18,65,Ticketing
49,18.892679358241736,Outside,43.88699365421247,62.779673012454204,9.446339679120868,53.333333333333336,03/05/2021,18,43,Onboard Experience
53,18.892679358241736,Outside,43.88699365421247,62.779673012454204,9.446339679120868,53.333333333333336,07/05/2021,18,42,Onboard Experience
56,18.892679358241736,Outside,43.88699365421247,62.779673012454204,9.446339679120868,53.333333333333336,03/05/2021,18,41,Airport Experience
59,18.892679358241736,Outside,43.88699365421247,62.779673012454204,9.446339679120868,53.333333333333336,06/05/2021,18,42,Airport Experience
74,75.32229164761,Outside,34.81504465238548,110.13733629999548,37.661145823805,72.47619047619048,14/05/2021,19,230,Onboard Experience
87,24.469611863736315,Outside,16.66995597289375,41.139567836630064,12.234805931868156,28.904761904761905,20/05/2021,20,48,Ticketing
89,24.469611863736315,Outside,16.66995597289375,41.139567836630064,12.234805931868156,28.904761904761905,22/05/2021,20,68,Ticketing
100,24.469611863736315,Outside,16.66995597289375,41.139567836630064,12.234805931868156,28.904761904761905,19/05/2021,20,14,Airport Experience
