,Destination,Date,Rolling week Total,Rolling week Avg
0,All,2021-01-01,1945312,277901.71428571426
1,All,2021-01-02,2434642,347806.0
2,All,2021-01-03,2876241,410891.5714285714
3,All,2021-01-04,3240012,462858.85714285716
4,All,2021-01-05,3114034,444862.0
5,All,2021-01-06,3156950,450992.85714285716
6,All,2021-01-07,3222726,460389.4285714286
7,All,2021-01-08,3235848,462264.0
8,All,2021-01-09,3227462,461066.0
9,All,2021-01-10,3250760,464394.28571428574
10,All,2021-01-11,3379933,482847.5714285714
11,All,2021-01-12,3374320,482045.71428571426
12,All,2021-01-13,3409322,487046.0
13,All,2021-01-14,3411840,487405.71428571426
14,All,2021-01-15,3359350,479907.14285714284
15,All,2021-01-16,3290316,470045.14285714284
16,All,2021-01-17,3201481,457354.4285714286
17,All,2021-01-18,3124391,446341.5714285714
18,All,2021-01-19,2992924,427560.5714285714
19,All,2021-01-20,2901332,414476.0
20,All,2021-01-21,2789592,398513.14285714284
21,All,2021-01-22,2849705,407100.71428571426
22,All,2021-01-23,2999017,428431.0
23,All,2021-01-24,3119782,445683.14285714284
24,All,2021-01-25,3180511,454358.71428571426
25,All,2021-01-26,3349392,478484.5714285714
26,All,2021-01-27,3427812,489687.4285714286
27,All,2021-01-28,3568304,509757.71428571426
28,All,2021-01-29,3561571,508795.85714285716
29,All,2021-01-30,3399829,485689.85714285716
30,All,2021-01-31,3280789,468684.14285714284
31,All,2021-02-01,3139609,448515.5714285714
32,All,2021-02-02,3151653,450236.14285714284
33,All,2021-02-03,3171982,453140.28571428574
34,All,2021-02-04,3046544,435220.5714285714
35,All,2021-02-05,3001555,428793.5714285714
36,All,2021-02-06,3057924,436846.28571428574
37,All,2021-02-07,3100903,442986.14285714284
38,All,2021-02-08,3180816,454402.28571428574
39,All,2021-02-09,3120621,445803.0
40,All,2021-02-10,3075541,439363.0
41,All,2021-02-11,3020313,431473.28571428574
42,All,2021-02-12,2901150,414450.0
43,All,2021-02-13,2962785,423255.0
44,All,2021-02-14,2960719,422959.85714285716
45,All,2021-02-15,2914368,416338.28571428574
46,All,2021-02-16,2866329,409475.5714285714
47,All,2021-02-17,2929780,418540.0
48,All,2021-02-18,3069955,438565.0
49,All,2021-02-19,3116338,445191.14285714284
50,All,2021-02-20,3017266,431038.0
51,All,2021-02-21,3101090,443012.85714285716
52,All,2021-02-22,3165358,452194.0
53,All,2021-02-23,3337218,476745.4285714286
54,All,2021-02-24,3169873,452839.0
55,All,2021-02-25,3102606,443229.4285714286
56,All,2021-02-26,3262553,466079.0
57,All,2021-02-27,3261457,465922.4285714286
58,All,2021-02-28,3246014,463716.28571428574
59,All,2021-03-01,3311816,473116.5714285714
60,All,2021-03-02,3268792,466970.28571428574
61,All,2021-03-03,3426898,489556.85714285716
62,All,2021-03-04,3431551,490221.5714285714
63,All,2021-03-05,3336504,476643.4285714286
64,All,2021-03-06,3449534,492790.5714285714
65,All,2021-03-07,3461650,494521.4285714286
66,All,2021-03-08,3460129,494304.14285714284
67,All,2021-03-09,3369472,481353.14285714284
68,All,2021-03-10,3246917,463845.28571428574
69,All,2021-03-11,3232183,461740.4285714286
70,All,2021-03-12,3338321,476903.0
71,All,2021-03-13,3275424,467917.71428571426
72,All,2021-03-14,3128319,446902.71428571426
73,All,2021-03-15,3089094,441299.14285714284
74,All,2021-03-16,3051468,435924.0
75,All,2021-03-17,3008297,429756.71428571426
76,All,2021-03-18,3017353,431050.4285714286
77,All,2021-03-19,2830078,404296.85714285716
78,All,2021-03-20,2720551,388650.14285714284
79,All,2021-03-21,2812500,401785.71428571426
80,All,2021-03-22,2878530,411218.5714285714
81,All,2021-03-23,2808448,401206.85714285716
82,All,2021-03-24,2868250,409750.0
83,All,2021-03-25,2930202,418600.28571428574
84,All,2021-03-26,2990018,427145.4285714286
85,All,2021-03-27,3075105,439300.71428571426
86,All,2021-03-28,3122361,446051.5714285714
87,All,2021-03-29,2598042,371148.85714285716
88,All,2021-03-30,2251226,321603.71428571426
89,All,2021-03-31,1838180,262597.14285714284
90,London,2021-01-01,652494,93213.42857142857
91,London,2021-01-02,781624,111660.57142857143
