,Sort,School Name,Date,Total Cost,Electricity Cost,Gas Cost,Maintenance Cost,Water Cost
0,1,School A,2021-01-01,8300,5000,800,1500,1000
1,2,School A,2021-02-01,7850,4800,750,1400,900
2,3,School A,2021-03-01,8280,5100,780,1450,950
3,4,School A,2021-04-01,8620,5200,820,1550,1050
4,5,School A,2021-05-01,8420,5100,800,1520,1000
5,6,School A,2021-06-01,8150,5000,750,1500,900
6,7,School A,2021-07-01,7930,4800,780,1400,950
7,8,School A,2021-08-01,8570,5200,820,1550,1000
8,9,School A,2021-09-01,8470,5100,800,1520,1050
9,10,School A,2021-10-01,8150,5000,750,1500,900
10,11,School A,2021-11-01,7930,4800,780,1400,950
11,12,School A,2021-12-01,8570,5200,820,1550,1000
12,1,School B,2021-01-01,7350,4500,700,1350,800
13,2,School B,2021-02-01,7700,4700,730,1420,850
14,3,School B,2021-03-01,7900,4800,750,1450,900
15,4,School B,2021-04-01,7520,4600,700,1400,820
16,5,School B,2021-05-01,7380,4500,730,1350,800
17,6,School B,2021-06-01,7720,4700,750,1420,850
18,7,School B,2021-07-01,7850,4800,700,1450,900
19,8,School B,2021-08-01,7550,4600,730,1400,820
20,9,School B,2021-09-01,7400,4500,750,1350,800
21,10,School B,2021-10-01,7670,4700,700,1420,850
22,11,School B,2021-11-01,7670,4800,650,1420,800
23,12,School B,2021-12-01,7820,4900,750,1420,750
24,1,School C,2021-01-01,7060,4300,680,1300,780
25,2,School C,2021-02-01,6790,4200,640,1200,750
26,3,School C,2021-03-01,7250,4400,700,1350,800
27,4,School C,2021-04-01,7350,4450,710,1370,820
28,5,School C,2021-05-01,7060,4300,680,1300,780
29,6,School C,2021-06-01,7000,4200,700,1350,750
30,7,School C,2021-07-01,7280,4400,710,1370,800
31,8,School C,2021-08-01,7250,4450,680,1300,820
32,9,School C,2021-09-01,7130,4300,700,1350,780
33,10,School C,2021-10-01,7030,4200,710,1370,750
34,11,School C,2021-11-01,7180,4400,680,1300,800
35,12,School C,2021-12-01,7320,4450,700,1350,820
36,1,School D,2021-01-01,6700,4100,630,1250,720
37,2,School D,2021-02-01,6530,4000,610,1220,700
38,3,School D,2021-03-01,6830,4200,630,1250,750
39,4,School D,2021-04-01,6940,4250,640,1270,780
40,5,School D,2021-05-01,6650,4100,610,1220,720
41,6,School D,2021-06-01,6580,4000,630,1250,700
42,7,School D,2021-07-01,6860,4200,640,1270,750
43,8,School D,2021-08-01,6860,4250,610,1220,780
44,9,School D,2021-09-01,6700,4100,630,1250,720
45,10,School D,2021-10-01,6610,4000,640,1270,700
46,11,School D,2021-11-01,6780,4200,610,1220,750
47,12,School D,2021-12-01,6910,4250,630,1250,780
