,store,Customer Type,Product,Products Sold
0,Birmingham,Existing,Bags,218
1,Birmingham,Existing,Mudguards,266
2,Birmingham,Existing,Saddles,185
3,Birmingham,Existing,Wheels,78
4,Birmingham,New,Bags,312
5,Birmingham,New,Mudguards,256
6,Birmingham,New,Saddles,123
7,Birmingham,New,Wheels,137
8,Leeds,Existing,Bags,246
9,Leeds,Existing,Mudguards,180
10,Leeds,Existing,Saddles,146
11,Leeds,Existing,Wheels,108
12,Leeds,New,Bags,233
13,Leeds,New,Mudguards,270
14,Leeds,New,Saddles,106
15,Leeds,New,Wheels,158
16,London,Existing,Bags,229
17,London,Existing,Mudguards,182
18,London,Existing,Saddles,163
19,London,Existing,Wheels,129
20,London,New,Bags,251
21,London,New,Mudguards,291
22,London,New,Saddles,123
23,London,New,Wheels,115
24,Manchester,Existing,Bags,171
25,Manchester,Existing,Mudguards,258
26,Manchester,Existing,Saddles,152
27,Manchester,Existing,Wheels,138
28,Manchester,New,Bags,286
29,Manchester,New,Mudguards,180
30,Manchester,New,Saddles,97
31,Manchester,New,Wheels,123
32,York,Existing,Bags,130
33,York,Existing,Mudguards,269
34,York,Existing,Saddles,110
35,York,Existing,Wheels,137
36,York,New,Bags,305
37,York,New,Mudguards,301
38,York,New,Saddles,94
39,York,New,Wheels,95
