,Quarter,Store,Target,Products Sold,Variance to Target,Rank
0,2,York,300,329.0,29.0,5
1,2,Birmingham,325,346.0,21.0,4
2,2,Leeds,325,331.0,6.0,3
3,2,London,325,324.0,-1.0,2
4,2,Manchester,300,288.0,-12.0,1
5,3,Manchester,300,350.0,50.0,5
6,3,Birmingham,300,348.0,48.0,4
7,3,London,300,312.0,12.0,3
8,3,Leeds,300,279.0,-21.0,2
9,3,York,300,273.0,-27.0,1
10,1,York,490,499.0,9.0,5
11,1,Birmingham,475,477.0,2.0,4
12,1,Leeds,490,488.0,-2.0,3
13,1,Manchester,475,440.0,-35.0,2
14,1,London,475,425.0,-50.0,1
15,4,London,400,422.0,22.0,5
16,4,York,330,340.0,10.0,4
17,4,Birmingham,400,404.0,4.0,3
18,4,Manchester,330,327.0,-3.0,2
19,4,Leeds,400,349.0,-51.0,1
