,Session #,Customer ID,song_order,Date,Artist,Song
0,1,cd2834,1,2020-12-22 13:59:59.971,Wham!,Last Christmas
1,2,2de3d7,1,2020-12-22 15:00:00.000,Dolly Parton,9 To 5
2,2,2de3d7,2,2020-12-22 15:02:00.010,Camilla Cabello Ft. Young Thug,Havana
3,3,2de3d7,1,2020-12-22 15:04:00.019,Moana,How Far I’ll Go
4,3,2de3d7,2,2020-12-22 18:00:00.000,Backstreet Boys,I Want It That Way
5,4,316313,1,2020-12-22 19:00:00.029,Alexandra Burke,Hallelujah
6,4,316313,2,2020-12-22 19:03:00.000,Luis Fonsi & Daddy Yankee,Despacito
7,4,316313,3,2020-12-22 19:05:00.010,The Lion King,Can You Feel The Love Tonight
8,5,316313,1,2020-12-22 19:07:00.019,Billie Eilish,Bad Guy
9,6,aa0846,1,2020-12-22 22:59:59.971,Lil Nas X,Old Town Road
10,6,aa0846,2,2020-12-22 23:03:00.029,ABBA,Dancing Queen
11,6,aa0846,3,2020-12-22 23:05:00.038,Alexandra Burke,Hallelujah
12,6,aa0846,4,2020-12-22 23:08:00.010,Aladdin,A Whole New World
13,6,aa0846,5,2020-12-22 23:10:59.981,Loren Allred,Never Enough (The Greatest Showman)
14,6,aa0846,6,2020-12-22 23:12:59.990,Aqua,Barbie Girl
15,6,aa0846,7,2020-12-22 23:15:00.000,Vanilla Ice,Ice Ice Baby
16,7,,1,2020-12-22 23:17:59.971,Mark Ronson Ft. Bruno Mars,Uptown Funk
17,7,,2,2020-12-23 07:00:00.029,Robbie Williams,Angels
18,8,15885d,1,2020-12-23 07:59:59.971,Frank Sinatra,My Way
19,8,15885d,2,2020-12-23 08:03:00.029,Little Mix,Shout Out To My Ex
20,8,15885d,3,2020-12-23 08:06:00.000,Frank Sinatra,New York New York
21,9,,1,2020-12-23 08:08:59.971,Ed Sheeran,Shape Of You
22,10,c02782,1,2020-12-23 12:00:00.000,Wham!,Last Christmas
23,10,c02782,2,2020-12-23 12:02:00.010,Ed Sheeran,Perfect
24,10,c02782,3,2020-12-23 12:04:00.019,Moana,How Far I’ll Go
25,11,c02782,1,2020-12-23 12:06:59.990,Lady Gaga & Bradley Cooper,Shallow
26,11,c02782,2,2020-12-23 16:00:00.029,Moana,How Far I’ll Go
27,12,01fc7c,1,2020-12-23 16:59:59.971,Ike And Tina Turner,Proud Mary
28,12,01fc7c,2,2020-12-23 17:01:59.981,Whitney Houston,I Wanna Dance With Somebody
29,12,01fc7c,3,2020-12-23 17:05:00.038,The Proclaimers,I’m Gonna Be (500 Miles)
30,12,01fc7c,4,2020-12-23 17:08:00.010,Lady Gaga & Bradley Cooper,Shallow
31,12,01fc7c,5,2020-12-23 17:10:59.981,Pinkfong,Baby Shark
32,12,01fc7c,6,2020-12-23 17:14:00.038,The Lion King,I Just Can’t Wait To Be King
33,13,,1,2020-12-23 17:15:59.962,The Proclaimers,I’m Gonna Be (500 Miles)
34,13,,2,2020-12-24 01:00:00.029,John Denver,"Take Me Home, Country Roads"
35,14,4999af,1,2020-12-24 01:59:59.971,Loren Allred,Never Enough (The Greatest Showman)
36,15,4999af,1,2020-12-24 02:01:59.981,John Denver,"Take Me Home, Country Roads"
37,16,cdda70,1,2020-12-24 04:00:00.029,Shania Twain,Man! I Feel Like A Woman
38,16,cdda70,2,2020-12-24 04:03:00.000,Mariah Carey,All I Want For Christmas Is You
39,16,cdda70,3,2020-12-24 04:05:00.010,Loren Allred,Never Enough (The Greatest Showman)
40,17,,1,2020-12-24 04:07:00.019,Bonnie Tyler,Total Eclipse Of The Heart
41,18,51a416,1,2020-12-24 07:59:59.971,Ed Sheeran,Perfect
42,19,51a416,1,2020-12-24 08:01:59.981,Mariah Carey,All I Want For Christmas Is You
43,19,51a416,2,2020-12-24 10:00:00.029,Oasis,Don’t Look Back In Anger
44,20,d5fcf7,1,2020-12-24 10:59:59.971,The Beatles,Hey Jude
45,20,d5fcf7,2,2020-12-24 11:03:00.029,Aladdin,A Whole New World
46,20,d5fcf7,3,2020-12-24 11:06:00.000,Mark Ronson Ft. Bruno Mars,Uptown Funk
47,21,,1,2020-12-24 11:08:59.971,High School Musical,Breaking Free
48,21,,2,2020-12-24 15:00:00.000,Ariana Grande,7 Rings
49,22,6eb0e1,1,2020-12-24 16:00:00.029,Oasis,Don’t Look Back In Anger
50,22,6eb0e1,2,2020-12-24 16:03:00.000,Shania Twain,Man! I Feel Like A Woman
51,22,6eb0e1,3,2020-12-24 16:05:59.971,Frozen,Let It Go
52,22,6eb0e1,4,2020-12-24 16:07:59.981,Pinkfong,Baby Shark
53,22,6eb0e1,5,2020-12-24 16:11:00.038,High School Musical,Breaking Free
54,22,6eb0e1,6,2020-12-24 16:14:00.010,Bryan Adams,Summer Of ’69
55,22,6eb0e1,7,2020-12-24 16:16:59.981,Ed Sheeran,Shape Of You
56,22,6eb0e1,8,2020-12-24 16:20:00.038,Dirty Dancing,The Time Of My Life
57,22,6eb0e1,9,2020-12-24 16:23:00.010,Ed Sheeran & Justin Bieber,I Don’t Care
58,23,,1,2020-12-24 16:25:59.981,Lewis Capaldi,Someone You Loved
59,23,,2,2020-12-25 01:59:59.971,ABBA,Mamma Mia
60,24,bdc39c,1,2020-12-25 03:00:00.000,Backstreet Boys,Everybody
61,24,bdc39c,2,2020-12-25 03:02:00.010,Dolly Parton,Jolene
62,24,bdc39c,3,2020-12-25 03:04:00.019,Dua Lipa,New Rules
63,24,bdc39c,4,2020-12-25 03:06:59.990,Loren Allred,Never Enough (The Greatest Showman)
64,24,bdc39c,5,2020-12-25 03:09:00.000,John Denver,"Take Me Home, Country Roads"
65,24,bdc39c,6,2020-12-25 03:11:59.971,TLC,No Scrubs
66,24,bdc39c,7,2020-12-25 03:15:00.029,Lil Nas X,Old Town Road
67,24,bdc39c,8,2020-12-25 03:18:00.000,The Lion King,I Just Can’t Wait To Be King
68,24,bdc39c,9,2020-12-25 03:20:00.010,The Little Mermaid,Part Of Your World
69,24,bdc39c,10,2020-12-25 03:22:59.981,The Lion King,I Just Can’t Wait To Be King
70,24,bdc39c,11,2020-12-25 03:24:59.990,A-Ha,Take On Me
71,25,,1,2020-12-25 03:27:00.000,Grease,Summer Nights
72,25,,2,2020-12-25 15:00:00.000,Ed Sheeran,Shape Of You
