,Product,Description,Contains
3,Walkers Max Flamin Hot Crisps,Fiercely Flamin' Hot Flavour Ridged Potato Crisps,"milk,whey"
4,Smiths Frazzles Bacon Snacks,Crispy Bacon Flavour Corn Snack,"milk,whey,lactose"
5,Sensations Thai Sweet Chilli,Thai Sweet Chilli Flavour Potato Crisps,milk
8,Tesco 5 Pack Jam Doughnuts,Jam Doughnut 5PK,milk
9,Krispy Kreme Original Glazed Doughnuts,Bring some light and fluffy joy into your day with our signature glazed doughnut.,"milk,egg"
12,Mcvities Dark Chocolate Digestives,Wheatmeal Biscuits Covered in Plain Chocolate,milk
14,Tesco Jam Sandwich Creams Biscuit,Shortcake biscuits sandwiched with a vanilla flavour cream and raspberry jam,milk
16,Cadbury Chocolate Fingers,Crisp Biscuits Covered with Cadbury Milk Chocolate,milk
18,Lindt Lindor 60% Dark Chocolate Truffles,Extra dark chocolate with a smooth melting filling,"milk,lactose"
19,Lindt Excellence Mint Intense Dark Chocolate,Fine dark chocolate with an intense taste of mint,milk
21,Belvita Soft Bakes Chocolate Chip,Soft baked biscuits made with wholegrain cereals and chocolate chips and added minerals.,milk
23,Nature Valley Sweet & Salty Dark Chocolate With Nuts,"Chewy peanut, almond and oat bar with dark chocolate pieces (10%) dipped in a chocolate flavoured coating.","milk,honey,lactose"
25,Alpen Light Summer Fruit Cereal Bars,"Mixed cereal bar with apple, sweetened cranberry, raspberry and strawberry juice, and a yoghurt flavour drizzle.","milk,lactose"
28,ASDA Guacamole,"Avocado dip with double cream, tomatoes, lime juice, coriander and chillies",milk
31,Tesco Crunchy Cookie Cereal,Chocolate flavoured wheat and maize cereal fortified with vitamins and iron.,milk
32,Kellogg's Crunchy Nut Peanut Butter Clusters,"Oat, Maize, Wheat and Peanut Clusters.",milk
34,Fruittella Juicy Chews,"Assorted Chewy Sweets with Strawberry, Orange and Lemon Flavours","gelatine,gelatin"
35,Haribo Jelly Beans,Assorted Flavour Sugar Coated Gums,beeswax
37,Maynards Wine Gums,Fruit flavour gums.,"gelatine,gelatin"
